Devices;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
OS;Constructor;Name;Screen size;Screen type;Screen resolution;SoC;GPU;Sensors;Battery;Storage;RAM;Camera;Dimensions;Weight;USB Type;SD Card;SIM
Cyanogen;OnePlus;OnePlus One;5.5'';Gorilla Glass 3 , JDI IPS , Touch On Lens;1080 x 1920 px = Full HD;Qualcomm Snapdragon 801;Qualcomm Adreno 330;proximity , light , accelerometer , compass, gyroscope, bluetooth, nfc, gps;3100 mAh , Li-Polymer;16 GB , 64 GB;3 GB;Sony Exmor IMX214    CMOS    4.69 x 3.52mm    1.115µm    f/2.0    13MP    (back) , 4.92MP    (front);152.9 x 75.9 x 8.9 mm;162 g;micro-B;no;micro
OxygenOS;OnePlus;OnePlus 2;5.5''; 401 PPI , Incell IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 810;Qualcomm Adreno 430;fingerprint , proximity , light , accelerometer , compass , gyroscope , bluetooth , nfc , gps;3300 mAh , Li-Polymer;16 GB , 64 GB;4 GB;OmniVision OV13860   PureCel    5.55 x 4.8 mm    1.335µm    f/2.0    13MP    (back) , 4.92MP    (front);151.8 x 74.9 x 9.85 mm;175 g;C;no;nano , nano
OxygenOS;OnePlus;OnePlus 3;5.5'';Corning Gorilla Glass 4 , 401 PPI , Optic AMOLED;1080 x 1920 px = Full HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , bluetooth , nfc , gps;3000 mAh , Li-Polymer;64 GB;6 GB;Sony Exmor IMX 298   CMOS    5.22 x 3.92 mm    1.132µm    f/2.0    16MP    (back) ,  7.99MP    (front);152.7 x 74.7 x 7.35 mm;158 g;C;no;nano , nano
Android;Huawei;Nexus 6P;5.7'';Corning Gorilla Glass 4, AMOLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 810;Qualcomm Adreno 430;Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , bluetooth , nfc , gps;3450 mAh , Li-Polymer;32 GB , 64 GB , 128 GB;3 GB;Sony Exmor IMX337R    CMOS BSI    6.25x4.65mm    1.55µm    f/2.0    12.3MP    (back) , 7.99MP    (front);159.3 x 77.8 x 7.3 mm;178 g;C;no;nano
Android;LG;Nexus 5X;5.2'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 808;Qualcomm Adreno 418;Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , bluetooth , nfc , gps;3700 mAh , Li-Polymer;16 GB , 32 GB;2 GB;Sony Exmor IMX377 R    CMOS BSI    6.25x4.65mm    1.55µm    f/2.0    12.9MP (back) , 4.92 MP     (front);147 x 72.6 x 7.9 mm;136 g;C;no;nano
Android;Samsung;Galaxy S7 Edge;5.5'';Corning Gorilla Glass 4 , Super AMOLED;1440 x 2560 px = Quad HD;Samsung Exynos 8;ARM Mali-T880 MP12;heart rate , Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , bluetooth , nfc , gps;3600 mAh , Li-Ion;32 GB , 64 GB , 128 GB;4 GB;Sony Exmor IMX260 RS    CMOS   f/1.7    12.19MP    (back) , 5.04MP     (front);150.9 x 72.6 x 7.7 mm;157 g;micro-B;microSD;nano
Android;Samsung;Galaxy S7;5.1 '';Corning Gorilla Glass 4 , Super AMOLED;1440 x 2560 px = Quad HD;Samsung Exynos 8;ARM Mali-T880 MP12;heart rate , Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , bluetooth , nfc , gps;3000 mAh , Li-Ion;32 GB , 64 GB;4 GB;Sony Exmor IMX260 RS    CMOS    f/1.7    12.19MP    (back) , 5.04 MP    (front);142.4 x 69.6 x 7.9 mm;152 g;micro-B;microSD;nano
Android;Asus;ZenFone 3 Deluxe;5.7'';Corning Gorilla Glass 4 , Super AMOLED;1080 x 1920 px = Full HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , bluetooth , nfc , gps;3000 mAh , Li-Ion;64  GB , 128 GB;4 GB;Sony Exmor IMX318 RS    CMOS    5.49x4.11mm    1µm    f/2.0    22.57MP    (back) , 2.07MP    (front);156.4 x 77.4 x 7.5 mm;170 g;3.0 , C;microSD;nano , micro
iOS;Apple;iPhone 6S;4.7'';Retina HD , IPS;750 x 1334 px;Apple A9;PowerVR GT7600;barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , bluetooth , nfc , gps;1715 mAh , Li-Polymer;16 GB, 64 GB, 128 GB;2 GB;Sony IMX315    4.8x3.6mm    1.10µm    f/2.2    12.19MP    (back) , 4.92MP    (front);138.3 x 67.1 x 7.1 mm;143 g;~=[,,_,,]:3;no;nano
iOS;Apple;iPhone 6;4.7'';Retina , IPS;750 x 1334 px;Apple A8;PowerVR  GX6450;barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , bluetooth , nfc , gps;1810 mAh , Li-Polymer;16 GB, 64 GB, 128 GB;1 GB;Sony Exmor RS    CMOS BSI    4.8x4.6mm    1.471µm    f/2.2    8MP    (back) , 1.23MP    (front);138.1 x 67 x 6.9 mm;129 g;~=[,,_,,]:3;no;nano
iOS;Apple;iPhone SE;4'';Retina , IPS;640 x 1136 px;Apple A9;PowerVR  GT7600; fingerprint , proximity , light , accelerometer , compass , gyroscope , bluetooth , nfc , gps;1642 mAh , Li-Polymer;16 GB , 64 GB;2 GB;Sony IMX315    4.8x3.6mm    1.19µm    f/2.2    12.19MP    (back) , 1.2MP    (front);123.8 x 58.6 x 7.6 mm;113 g;~=[,,_,,]:3;no;nano
Windows;Nokia;Lumia 950;5.2'';AMOLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 808;Qualcomm Adreno 418;proximity , light , accelerometer , compass , gyroscope , bluetooth  , gps;3000 mAh , Li-Polymer;32 GB , 64 GB , 128 GB;3 GB;CMOS BSI    5.76x4.19mm    1.071µm    f/1.9    20.13MP    (back) , 5.02 MP    (front);145 x 73.2 x 8.2 mm;150 g;3.1 , C;microSD;nano
